ordernum	user_id	flight_id	date	seatnum	service
666374383525	110006191511081753	7FIWTJUZ	2023-1-25 08:45:32	6	
619662037344	110008195209029218	2DA9IN8Y	2022-10-26 07:55:04	205	
845362888216	11003819350802546X	1J1Z9JII	2023-5-14 03:21:13	48	
110168244091	11004819720704465X	0C4MVWK0	2023-3-23 17:19:30	271	
313748455933	11004819720704465X	67GOYGGI	2023-3-18 01:44:05	178	
663248705785	110062193803268472	513LCE56	2023-2-26 01:13:27	6	
798507295150	110062193803268472	FJ2CR93S	2022-7-5 22:14:56	185	
670739244707	110102193605047221	AG1P98C4	2022-4-19 05:58:27	186	
611523411311	110102193605047221	FH67VD2L	2023-4-28 21:45:31	161	
491274868830	110104191809221862	2NRW39HD	2022-9-5 14:37:23	131	
165627299816	110128200107268909	1JWIC1UM	2022-11-16 09:10:59	296	
457816409364	110135200302161588	2ISEDW04	2022-2-25 17:17:05	119	
220816150008	110156196307197240	9MBG3X09	2022-7-4 06:25:00	237	
097181164580	110187200102073918	DN5LXSW1	2022-5-20 16:49:15	189	
787023761694	110187200102073918	G39WHWV8	2022-10-22 12:42:59	270	
634136851059	110187200102073918	YM9LUAE6	2022-5-5 14:36:56	176	
965449469147	11020619470304234X	3G5OC78V	2022-5-4 02:05:13	292	
670777954568	11020619470304234X	I1B4OYJ8	2022-6-18 08:30:57	145	
392824408600	11020619470304234X	ORPZNT3P	2022-6-17 00:06:14	206	
731154081713	110209198205108016	AF2HAS9Z	2022-1-31 07:42:46	152	
351990974810	110209198205108016	LGIV22VG	2022-9-20 16:33:47	176	
341762029197	110215200404167614	P8LUPCKT	2022-8-6 00:12:18	29	
856302784354	11022719131208206X	QNRDJFNT	2022-7-14 18:37:58	128	
166254905591	110230195104089642	QQH2Y1NR	2022-4-9 07:02:38	143	
549856035984	110232195212079778	3HH4G4PC	2022-2-28 18:15:45	198	
454557845639	11024119010717315X	UR832A6N	2023-5-15 17:49:28	223	
261505558454	110244198506069830	41O4MGSJ	2022-5-29 16:12:00	297	
750559984121	110244198506069830	L88BOE0C	2023-3-15 12:37:17	283	
467291602440	110282196009194832	97MNR08V	2023-2-19 15:52:34	118	
947512398931	110285192505271244	N3RFD6Y5	2022-4-5 20:39:05	157	
927291261351	11033919810615466X	2BOOWNAG	2022-11-25 01:40:32	127	
391711433530	110382197803162440	PYIDYY4L	2022-4-17 03:05:04	98	
168272999263	110386196202282616	LG596MBT	2022-4-15 18:43:45	69	
390760160949	110393193211162536	E2Z4BITK	2023-5-21 08:00:47	116	
848628613123	110413197407155268	151QOKF8	2022-8-9 11:59:20	253	
879365655383	110419195212113454	ER3IY4JQ	2022-7-30 08:19:29	204	
838292262699	110419195212113454	M8OY2UEW	2022-8-13 08:21:46	225	
524437364277	110431197304012099	Y0LHBSV7	2022-1-29 00:12:13	83	
240050586953	110431197903204826	LJ8ZHVUW	2023-5-13 07:28:44	214	
345920435402	11045019300302613X	UVXMDQSY	2022-5-27 19:40:27	78	
762083643065	110476198610229699	72KKYZ16	2022-11-3 05:53:44	217	
106559909968	110479195410172582	7M6Y353U	2022-4-6 08:51:11	175	
702950614006	110479195410172582	BYYQ4680	2022-12-9 12:25:40	243	
017473724765	110479195410172582	MJJ32BKW	2023-3-10 14:51:07	273	
574733581360	110479195410172582	Y0P2EGG5	2023-3-8 07:52:47	257	
512325155744	110494196709285731	608X3GW9	2022-7-12 01:44:41	102	
863540035323	110494196709285731	7EEWHG32	2022-8-28 05:09:32	178	
327076166364	110512194304012673	N68JBWZH	2022-2-22 14:29:27	68	
293224633817	110532199507131064	4LJMO6YY	2022-8-8 11:59:23	4	
160217402287	110535202104082943	YGAH1UWA	2022-2-9 20:08:13	73	
946243055398	110556193410167558	MZRZELJF	2023-1-13 12:13:13	56	
561331793855	110602190302188514	031WEJ3Z	2023-4-7 22:07:09	225	
642290892533	11062820031214518X	BQDGGGVO	2023-4-24 03:18:47	62	
638508879568	11062820031214518X	IJI9BVOW	2022-12-15 15:06:13	208	
953758085619	110628200502271101	EM6LRAYF	2023-4-25 16:06:09	281	
603067113630	110628200502271101	INVLZXE0	2022-1-31 16:20:29	23	
152791986710	110630193202185817	LFFRAFLA	2022-7-27 07:24:19	187	
211686401487	110658196903268869	HHFDTP9T	2023-2-5 22:41:18	171	
492424984778	11065919170217283X	3AVPJGEC	2022-9-6 21:40:06	101	
423375036585	110670194212181153	AJOOTE7T	2022-3-1 16:39:25	196	
525585929124	110678194508043869	HA35GJQJ	2022-9-9 08:04:20	241	
371139717948	110678194508043869	VQJR1JLW	2022-9-13 02:07:12	283	
793428889449	110717199906129305	90KUZZ57	2022-7-11 07:13:01	1	
903107074694	110717199906129305	M2ZT014F	2023-5-3 00:53:16	159	
008445900212	11072319870428481X	4IE838BP	2022-3-24 14:37:49	21	
922900914532	110742200002124239	KAWV7UUK	2022-1-23 15:38:25	226	
809153736392	110754192412278183	5G6EUGRL	2022-1-8 16:08:02	211	
834033107598	110754192412278183	ZC7S2G83	2022-5-29 18:21:54	165	
093343824654	110764190107126937	JO3NZFN3	2022-3-11 00:10:39	286	
655509609007	110771190809209538	7RHCKJR3	2023-3-23 05:35:56	287	
812647227604	110773201911054433	ZTBZVT22	2023-5-23 14:14:32	259	
660942889848	110776196412176650	KWNE1KPH	2022-3-4 18:09:44	279	
111192793736	110781193212099838	ZZ40NA8A	2022-6-29 12:14:25	146	
912478195998	110789192606169225	S2APZJM5	2023-2-26 16:29:04	249	
355697228625	110807192304114756	EK40DXGG	2023-1-29 03:25:42	129	
201949451499	110849201305112248	1NLZI7V5	2022-4-8 08:03:04	89	
255329386349	110873192006067342	HIXFHMV4	2022-12-14 19:15:02	97	
008314813889	110877195102021570	QYX3LTNH	2023-2-22 19:30:24	275	
333692728030	110881190808095469	8ZQKL7WO	2022-5-14 07:41:29	15	
628375273173	110881190808095469	A1M5ICAI	2022-10-1 04:13:41	106	
895998650654	110881190808095469	V2OMLOVC	2022-2-13 20:02:52	207	
164409768865	110883190907131739	1K4ATQ0F	2022-5-4 19:17:11	133	
675817660540	110886195304052849	1AF5V4YA	2022-3-30 17:57:23	222	
073895713927	110887193209217585	YWS7EPOI	2022-3-31 20:06:35	67	
